"Alan Adı","İçerik","Notlar"
"Ürün Kodu","17160","Model kodu"
"Model","LINEO 100 QUIET","Ürün model adı"
"Marka","Vortice","İtalyan menşei"
"Distribütör","Avensair","Türkiye distribütörü"
"Kategori","Havalandırma Sistemleri > Kanal Tipi Karışık Akışlı Fanlar","E-ticaret kategori yolu"
"Ürün Başlığı (Ana)","Vortice LINEO 100 QUIET Ses Yalıtımlı Kanal Tipi Fan 260 m³/h","69 karakter - SEO uyumlu"
"Ürün Başlığı (Alt 1)","LINEO 100 QUIET Sessiz Havalandırma Fanı AC Motor 3 Hızlı","64 karakter"
"Ürün Başlığı (Alt 2)","Vortice LINEO 100 QUIET Mix Flow Fan Ses Yalıtımlı 100mm","59 karakter"
"Ürün Başlığı (Alt 3)","LINEO 100 QUIET Kanal Fanı 260 m³/h Düşük Gürültü ERP 2022","65 karakter"
"Kısa Açıklama 1","✓ Ses Yalıtımlı Tasarım: Maksimum hızda bile sadece 46.6 dB(A) - kütüphane sessizliği","Madde işaretli özellik"
"Kısa Açıklama 2","✓ Yüksek Performans: 260 m³/h hava debisi, 15 mmH₂O basınç - orta boy banyolar için ideal","Madde işaretli özellik"
"Kısa Açıklama 3","✓ Enerji Tasarrufu: Minimum hızda sadece 11W - ERP 2022 standartları","Madde işaretli özellik"
"Kısa Açıklama 4","✓ Kolay Kurulum: 360° döner gövde, montaj süresi 30 dakika altında","Madde işaretli özellik"
"Kısa Açıklama 5","✓ Uzun Ömür: 30.000 saat garantili motor ömrü - 10+ yıl sorunsuz kullanım","Madde işaretli özellik"
"Kısa Açıklama 6","✓ Çok Yönlü Kontrol: 3 hız seçeneği, sensör ve zamanlayıcı desteği","Madde işaretli özellik"
"Kısa Açıklama 7","✓ Güvenlik: CE, IMQ, UKCA onaylı, E2 yangın güvenlik, IPX5 su koruması","Madde işaretli özellik"
"Kısa Açıklama 8","✓ Geniş Kullanım: Banyo, mutfak, ofis, yatak odası - konut ve ticari projeler","Madde işaretli özellik"
"Uzun Açıklama Paragraf 1","LINEO 100 QUIET, İtalyan havalandırma teknolojisi lideri Vortice tarafından geliştirilen ses yalıtımlı kanal tipi karışık akışlı (mixed flow) havalandırma fanıdır. Özellikle sessiz çalışma ve yüksek enerji verimliliği gereken konut banyoları, mutfaklar, küçük ofisler ve ticari mekanlar için tasarlanmıştır.","Giriş paragrafı"
"Uzun Açıklama Paragraf 2","LINEO 100 QUIET, gövdesine entegre edilmiş özel ses emici kaplama sayesinde rakiplerinden belirgin şekilde ayrılır. Ko-kalıplama teknolojisi ile üretilen ses yalıtım kabuğu ve Helmholtz rezonatör grubu, gürültü seviyesini minimum hızda 36.2 dB(A)'ya kadar düşürür - bu, sessiz bir kütüphane ortamına eşdeğerdir. Maksimum hızda bile 46.6 dB(A) ile fısıltıdan sadece biraz yüksek bir ses çıkarır.","Sessizlik teknolojisi"
"Uzun Açıklama Paragraf 3","Mixed flow (karışık akış) pervane teknolojisi, helisel fanların yüksek debisini santrifüj fanların yüksek basıncıyla birleştirir. Sonuç: 260 m³/h'e kadar hava debisi ve 15 mmH₂O basınç kapasitesi. Bu performans, 8-12 m² arası banyolar ve küçük mekanlar için idealdir. Minimum hızda sadece 11W güç çeker - bir LED ampulden bile az!","Performans ve verimlilik"
